Type,Address,ZIP,Purchase Amt,Purchase Down %,1st Amount,2nd Amount,CLTV %,Purchase Date,Purchase Type,City,Owner Occ?,Listed for Sale?
CND,200 CHAMBERS ST 5F,10007,1450000,55,630000,,45,8/17/2018,Market,NEW YORK,0,0
CND,200 CHAMBERS ST 3F,10007,1320000,100,,,0,3/28/2023,Market,NEW YORK,1,0
CND,200 CHAMBERS ST 4F,10007,1316000,30,921200,,69,1/19/2022,Market,NEW YORK,1,0
CND,200 CHAMBERS ST 7F,10007,1495000,25,,,0,6/8/2020,Market,NEW YORK,1,0
CND,200 CHAMBERS ST 17F,10007,1650000,100,,,0,10/4/2018,Market,NEW YORK,0,0
CND,200 CHAMBERS ST 16F,10007,1570000,100,,,0,4/13/2023,Market,NEW YORK,0,0
CND,200 CHAMBERS ST 14F,10007,1530000,100,,,0,2/28/2023,Market,NEW YORK,0,0
CND,200 CHAMBERS ST 19F,10007,1560000,100,,,0,7/5/2023,Market,NEW YORK,0,0
CND,200 CHAMBERS ST 25F,10007,3117881,36,2000000,,56,12/18/2015,Market,NEW YORK,1,0
CND,200 CHAMBERS ST 28F,10007,3150000,68,1000000,,32,4/26/2022,Market,NEW YORK,1,0
CND,200 CHAMBERS ST 29F,10007,3200000,50,1600000,,53,6/30/2022,Market,NEW YORK,1,0
CND,200 CHAMBERS ST 2G,10007,1350000,30,945000,,69,5/5/2022,Market,NEW YORK,1,0
CND,200 CHAMBERS ST 8G,10007,2950000,100,,,0,11/21/2017,Market,NEW YORK,1,0
CND,200 CHAMBERS ST 5G,10007,1368880,100,,,0,1/7/2020,Market,NEW YORK,0,0
CND,200 CHAMBERS ST 12G,10007,2770000,100,,,0,1/10/2015,Market,NEW YORK,0,1
CND,200 CHAMBERS ST 19G,10007,2225000,100,,,0,4/16/2013,Market,NEW YORK,1,0
CND,200 CHAMBERS ST 5J,10007,1310000,100,,,0,9/5/2023,Market,NEW YORK,1,0
CND,200 CHAMBERS ST 2K,10007,1130000,20,904000,14142,64,5/18/2015,Market,NEW YORK,0,0
CND,200 CHAMBERS ST 6J,10007,1335000,100,,,0,9/14/2017,Market,NEW YORK,0,0
